Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR018013_1	41.849386994809045	53.0	35.0	50.0	72729635.0
SRR018013_2	43.749319224821534	54.0	35.0	50.0	67504183.0
SRR018015	4.027454814241295	50.0	35.0	30.0	92914107.0
SRR057598	42.62636974011483	56.0	40.0	9.090909090909092	14988768.0
SRR057599	41.935268321295574	54.0	40.0	18.181818181818183	15795216.0
SRR1106118	26.655581960555793	31.0	31.90886790927291	30.0	6827156.0
SRR1106122	23.322729603396766	31.0	31.640269692139807	30.0	11078113.0
SRR1106138	8.272608219703969	30.0	31.951671218933686	30.0	5627599.0
SRR1106139	10.007382028173112	30.0	31.900934402970403	30.0	6810659.0
SRR1106140	6.419551918733276	30.0	32.210607549127175	30.0	4183530.0
